id,Operator
657,Military - U.S. Army Air Forces
658,Military - U.S. Army Air Forces
659,Pan American Airways
660,Military - U.S. Army Air Forces
661,Pan American World Airways
662,Military - U.S. Navy
663,Military - U.S. Air Force
664,Military - U.S. Army Air Forces
665,Panair do Brasil
666,Deutsche Lufthansa
667,Military - Royal Netherlands East Indies Air Force
668,U. S. Air Force
669,Panair do Brasil
670,Deutsche Lufthansa
671,Military - U.S. Air Force
672,China National Aviation Corporation
673,Deutsche Lufthansa
674,Qantas
675,Deutsche Lufthansa
676,Deutsche Lufthansa
677,Military - U.S. Army Air Forces
678,Trans Continental and Western Air
679,Military - U.S. Army Air Corps
680,Military - U.S. Army Air Forces
681,TACA
682,BOAC
683,Deutsche Lufthansa
684,China National Aviation Corporation
685,Trans Continental and Western Air
686,Trans-Canada Air Lines
687,Military - U.S. Army Air Forces
688,China National Aviation Corporation
689,Pan American World Airways
690,American Airlines
691,China National Aviation Corporation
692,China National Aviation Corporation
693,Military - Royal Australian Air Force
694,Australian National Airways
695,Military - U.S. Army Air Forces
696,Military -Royal Air Force
697,Military - U.S. Navy
698,Navegacao Aerea Brasileira
699,Military - United States Army Air Force
700,American Airlines
701,Military - U.S. Air Force
702,China National Aviation Corporation
703,Pennsylvania Central Airlines
704,Military - U.S. Navy
705,
706,Military - U.S. Army Air Forces
707,Deutsche Lufthansa
708,Military - U.S. Air Force
709,Page Airways
710,Military - U.S. Army Air Forces
711,Military - U.S. Army Air Forces
712,Military -Royal Air Force
713,Military - U.S. Army Air Forces
714,Military - U.S. Army Air Forces
715,China National Aviation Corporation
716,MaRobertson Miller Airlines
717,Military -Royal Air Force
718,Military - Royal Indian Air Force
719,Military -Royal Air Force
720,Military - South African Air Force
721,Eastern Air Lines / Military - U.S. Army Air Corps
722,Military - U.S. Army Air Forces
723,Lineas Aereas Mineras
724,Pan American World Airways
725,Mexicana
726,Eastern Air Lines
727,Military - Royal Australian Air Force
728,Military - U.S. Army Air Forces
729,Military - Royal Australian Air Force
730,Military - United States Army Air Force
731,National Airlines
732,Military -Royal Air Force
733,Military - Royal Air Force
734,Military -Royal Air Force
735,Military - U.S. Army Air Forces
736,Military - Royal Australian Air Force
737,China National Aviation Corporation
738,Military - Royal Air Force
739,Faucett
740,Military - U.S. Army Air Forces
741,Military - U.S. Army Air Forces
742,Military - U.S. Army Air Forces
743,Military - U.S. Navy / Military - U.S. Navy
744,Military - U.S. Army Air Forces
745,Military - U.S. Army Air Forces
746,Military -Royal Air Force
747,Military - U.S. Army
748,Military - Royal Australian Air Force
749,Military -Royal Air Force
750,Military -Royal Air Force
751,Military - U.S. Navy
752,Military - U.S. Army
753,Military - Royal Air Force
754,Air France
755,Eastern Air Lines
756,Pennsylvania Central Airlines
757,Military - Chinese Air Force
758,Military -Royal Air Force
759,Eastern Air Lines
